               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  71,            0.032468,            0.019145,           0.0058461,             0.92047,             0.84925,             0.91431,             0.60879,            0.024474,            0.012896,           0.0047247,             0.00769,             0.00769,             0.00769
                  72,            0.032372,            0.019052,           0.0057227,             0.92059,             0.84878,             0.91411,             0.60909,            0.024468,            0.012891,           0.0047369,            0.007657,            0.007657,            0.007657
                  73,            0.032516,            0.019069,           0.0057946,             0.92077,             0.84882,             0.91402,             0.60906,            0.024458,            0.012888,           0.0047424,            0.007624,            0.007624,            0.007624
                  74,            0.032449,            0.018948,            0.005823,             0.92023,             0.84977,              0.9139,             0.60887,            0.024449,            0.012886,           0.0047351,            0.007591,            0.007591,            0.007591
                  75,            0.032362,            0.018926,           0.0057928,             0.92116,             0.84994,             0.91369,             0.60894,             0.02444,            0.012885,            0.004736,            0.007558,            0.007558,            0.007558
                  76,            0.032361,            0.019003,           0.0056992,             0.92016,              0.8504,             0.91391,             0.60945,             0.02443,            0.012885,           0.0047458,            0.007525,            0.007525,            0.007525
                  77,            0.032348,            0.019061,           0.0058394,             0.92018,             0.85036,             0.91366,             0.60911,            0.024423,            0.012883,           0.0047585,            0.007492,            0.007492,            0.007492
                  78,            0.032235,            0.018937,           0.0056147,              0.9203,             0.85078,             0.91357,             0.60935,            0.024422,            0.012884,           0.0047674,            0.007459,            0.007459,            0.007459
                  79,            0.032316,             0.01905,           0.0056681,             0.92028,             0.85004,              0.9136,             0.60902,            0.024421,            0.012881,           0.0047818,            0.007426,            0.007426,            0.007426
                  80,            0.032247,            0.018944,           0.0057076,             0.92131,             0.84964,             0.91374,               0.609,            0.024424,            0.012877,           0.0047859,            0.007393,            0.007393,            0.007393
                  81,            0.032271,            0.019025,           0.0057101,             0.92033,             0.85105,             0.91379,             0.60883,            0.024425,            0.012874,           0.0048018,             0.00736,             0.00736,             0.00736
                  82,            0.032183,            0.018915,           0.0056982,             0.91874,             0.85059,             0.91327,             0.60879,            0.024424,            0.012872,           0.0048164,            0.007327,            0.007327,            0.007327
                  83,            0.032083,            0.018867,           0.0056505,             0.91873,             0.84921,              0.9129,             0.60897,            0.024423,             0.01287,           0.0048195,            0.007294,            0.007294,            0.007294
                  84,            0.032118,            0.018886,           0.0055734,             0.91954,              0.8493,             0.91287,               0.609,            0.024421,            0.012869,           0.0048165,            0.007261,            0.007261,            0.007261
                  85,            0.032132,            0.018859,           0.0056492,             0.91958,             0.85009,             0.91281,             0.60921,            0.024422,            0.012869,           0.0048218,            0.007228,            0.007228,            0.007228
                  86,            0.032061,            0.018983,           0.0056442,             0.91971,              0.8501,             0.91298,             0.60919,            0.024421,            0.012867,           0.0048436,            0.007195,            0.007195,            0.007195
                  87,            0.032014,            0.018846,           0.0056511,             0.91977,              0.8502,             0.91307,              0.6094,            0.024421,            0.012864,           0.0048584,            0.007162,            0.007162,            0.007162
                  88,            0.032019,            0.018886,           0.0056238,             0.91894,             0.85067,             0.91273,             0.60922,            0.024422,            0.012862,           0.0048694,            0.007129,            0.007129,            0.007129
                  89,            0.032034,            0.019019,           0.0056404,             0.91958,             0.85122,             0.91285,             0.60988,            0.024425,            0.012863,           0.0048694,            0.007096,            0.007096,            0.007096
                  90,            0.031896,            0.018696,             0.00559,             0.92021,             0.85133,             0.91277,             0.60982,            0.024425,            0.012863,           0.0048811,            0.007063,            0.007063,            0.007063
                  91,            0.031851,            0.018722,           0.0054881,             0.91974,              0.8512,             0.91279,             0.60984,            0.024427,            0.012863,            0.004895,             0.00703,             0.00703,             0.00703
                  92,             0.03188,            0.018697,           0.0056092,             0.92098,             0.85122,             0.91304,             0.61005,            0.024425,            0.012866,           0.0048882,            0.006997,            0.006997,            0.006997
                  93,             0.03187,            0.018757,           0.0055607,             0.92021,             0.85148,             0.91286,             0.61033,            0.024429,            0.012866,           0.0048914,            0.006964,            0.006964,            0.006964
                  94,            0.031722,            0.018685,            0.005597,             0.92007,             0.85141,             0.91291,             0.61041,            0.024426,            0.012867,           0.0049016,            0.006931,            0.006931,            0.006931
                  95,            0.031827,            0.018708,           0.0055366,             0.91983,             0.85139,             0.91287,              0.6104,            0.024417,            0.012865,           0.0048985,            0.006898,            0.006898,            0.006898
                  96,             0.03173,            0.018819,           0.0055445,             0.92013,             0.85178,             0.91279,             0.61039,            0.024411,            0.012864,           0.0049088,            0.006865,            0.006865,            0.006865
                  97,            0.031812,            0.018668,           0.0054506,             0.92015,             0.85223,             0.91318,             0.61046,            0.024409,            0.012862,           0.0049299,            0.006832,            0.006832,            0.006832
                  98,             0.03181,            0.018664,           0.0055241,             0.92073,             0.85185,             0.91308,              0.6105,            0.024405,            0.012862,           0.0049745,            0.006799,            0.006799,            0.006799
                  99,            0.031647,            0.018745,           0.0054293,             0.92007,             0.85234,             0.91296,             0.61056,            0.024404,            0.012861,           0.0050076,            0.006766,            0.006766,            0.006766
                 100,            0.031748,            0.018701,           0.0055494,             0.91954,             0.85302,             0.91295,             0.61069,            0.024403,            0.012862,           0.0050386,            0.006733,            0.006733,            0.006733
                 101,            0.031666,            0.018656,           0.0054791,             0.91932,             0.85352,             0.91284,             0.61055,            0.024396,             0.01286,           0.0050644,              0.0067,              0.0067,              0.0067
                 102,            0.031696,             0.01872,           0.0054685,             0.91948,             0.85419,             0.91282,             0.61043,            0.024394,            0.012859,           0.0050922,            0.006667,            0.006667,            0.006667
                 103,            0.031709,            0.018741,           0.0054103,             0.91941,             0.85379,             0.91293,             0.61063,            0.024391,            0.012857,            0.005114,            0.006634,            0.006634,            0.006634
                 104,            0.031666,            0.018638,           0.0054324,             0.91938,              0.8546,             0.91312,             0.61099,            0.024394,            0.012854,           0.0051305,            0.006601,            0.006601,            0.006601
                 105,            0.031563,            0.018634,           0.0054461,             0.91966,             0.85433,             0.91343,             0.61117,            0.024395,            0.012851,           0.0051592,            0.006568,            0.006568,            0.006568
                 106,            0.031519,            0.018644,            0.005417,             0.92114,             0.85464,             0.91394,              0.6116,            0.024392,            0.012847,           0.0052013,            0.006535,            0.006535,            0.006535
                 107,            0.031511,            0.018681,           0.0053755,             0.92082,             0.85545,             0.91406,             0.61175,            0.024385,            0.012844,           0.0052294,            0.006502,            0.006502,            0.006502
                 108,            0.031402,            0.018469,           0.0053867,             0.92097,             0.85524,             0.91396,             0.61145,            0.024382,            0.012841,           0.0052429,            0.006469,            0.006469,            0.006469
                 109,            0.031543,            0.018551,           0.0054628,             0.92172,             0.85507,             0.91409,             0.61197,            0.024378,            0.012841,           0.0052651,            0.006436,            0.006436,            0.006436
                 110,            0.031605,            0.018642,           0.0053633,             0.92172,             0.85436,             0.91398,             0.61198,            0.024378,            0.012839,           0.0052921,            0.006403,            0.006403,            0.006403
                 111,            0.031523,            0.018562,           0.0054144,             0.92017,             0.85518,             0.91401,             0.61221,            0.024375,            0.012838,           0.0052917,             0.00637,             0.00637,             0.00637
                 112,            0.031424,            0.018515,            0.005391,              0.9212,             0.85524,             0.91425,             0.61232,            0.024371,            0.012837,           0.0053016,            0.006337,            0.006337,            0.006337
                 113,            0.031425,            0.018469,           0.0053555,             0.92107,             0.85532,             0.91398,             0.61262,            0.024369,            0.012834,           0.0053033,            0.006304,            0.006304,            0.006304
                 114,            0.031426,            0.018531,           0.0053654,             0.92168,             0.85498,             0.91386,             0.61262,            0.024365,            0.012832,           0.0053165,            0.006271,            0.006271,            0.006271
                 115,            0.031301,             0.01853,           0.0053504,             0.92209,             0.85436,             0.91389,             0.61259,            0.024354,            0.012827,           0.0053358,            0.006238,            0.006238,            0.006238
                 116,            0.031351,             0.01831,           0.0052237,             0.92162,              0.8539,             0.91382,             0.61217,            0.024347,            0.012825,           0.0053421,            0.006205,            0.006205,            0.006205
                 117,            0.031341,             0.01838,           0.0052784,             0.92105,             0.85414,             0.91396,             0.61212,            0.024336,            0.012825,           0.0053584,            0.006172,            0.006172,            0.006172
